Brand,Model_Year,Engine_Size,Horsepower,Mileage,Fuel_Type,Transmission,Seats,Condition,Price
Toyota,2018,1.6,120,45000,Petrol,Manual,5,Good,12500
Honda,2019,1.8,150,38000,Petrol,Automatic,5,Excellent,14200
Ford,2017,2.0,180,52000,Diesel,Automatic,5,Good,13800
BMW,2020,2.5,250,22000,Petrol,Automatic,5,Excellent,28500
Mercedes,2019,3.0,300,35000,Diesel,Automatic,5,Excellent,42000
Audi,2018,2.0,220,48000,Petrol,Automatic,5,Good,26500
Volkswagen,2017,1.6,110,62000,Petrol,Manual,5,Fair,10200
Hyundai,2019,1.5,130,28000,Petrol,Automatic,5,Excellent,12800
Kia,2018,1.8,160,41000,Petrol,Automatic,5,Good,13500
Maruti,2020,1.0,68,12000,Petrol,Manual,5,Excellent,8500
Tata,2019,1.2,84,25000,Petrol,Manual,5,Good,9200
Mahindra,2018,1.5,110,35000,Diesel,Automatic,5,Good,11800
Renault,2017,1.4,95,48000,Petrol,Manual,5,Fair,9800
Datsun,2019,1.2,78,32000,Petrol,Manual,5,Good,8900
Skoda,2018,1.6,110,42000,Petrol,Manual,5,Good,14500
Citroen,2017,1.2,82,55000,Petrol,Manual,5,Fair,8700
MG,2020,1.5,105,8000,Petrol,Automatic,5,Excellent,11900
Jeep,2019,2.0,165,30000,Petrol,Automatic,5,Excellent,22500
Chevrolet,2018,1.4,100,45000,Petrol,Automatic,5,Good,10500
Toyota,2020,2.5,200,18000,Hybrid,Automatic,5,Excellent,32000
Honda,2017,2.0,180,52000,Petrol,Automatic,5,Good,17800
BMW,2019,2.0,190,28000,Diesel,Automatic,5,Excellent,31500
Mercedes,2020,3.5,380,15000,Petrol,Automatic,5,Excellent,65000
Audi,2017,1.8,150,58000,Petrol,Automatic,5,Fair,22500
Volkswagen,2019,1.5,120,32000,Petrol,Automatic,5,Good,13800
Hyundai,2020,1.6,140,14000,Petrol,Automatic,5,Excellent,15200
Kia,2017,1.8,150,50000,Diesel,Manual,5,Good,14200
Maruti,2018,1.2,85,38000,Petrol,Manual,5,Good,9500
Tata,2020,1.5,110,10000,Petrol,Automatic,5,Excellent,11200
Mahindra,2019,2.0,140,26000,Diesel,Automatic,5,Excellent,18500
Renault,2018,1.6,115,42000,Petrol,Automatic,5,Good,12500
Datsun,2017,1.5,98,48000,Petrol,Manual,5,Fair,9100
Skoda,2019,2.0,150,25000,Petrol,Automatic,5,Excellent,18800
Citroen,2018,1.5,105,35000,Petrol,Automatic,5,Good,10800
MG,2019,1.5,110,20000,Petrol,Automatic,5,Excellent,12800
Jeep,2018,2.2,180,35000,Petrol,Automatic,5,Good,21500
Chevrolet,2019,1.6,120,28000,Petrol,Automatic,5,Good,11900
Toyota,2017,1.4,105,55000,Petrol,Manual,5,Fair,11500
Honda,2018,1.5,120,42000,Petrol,Manual,5,Good,12800
Ford,2019,2.0,185,32000,Diesel,Automatic,5,Excellent,15800
BMW,2018,1.6,130,45000,Petrol,Automatic,5,Good,24500
Mercedes,2017,2.8,280,52000,Petrol,Automatic,5,Fair,38000
Audi,2020,2.5,260,12000,Petrol,Automatic,5,Excellent,35500
Volkswagen,2018,2.0,140,38000,Diesel,Automatic,5,Good,15200
Hyundai,2017,1.4,95,58000,Petrol,Manual,5,Fair,10500
Kia,2019,1.6,130,30000,Petrol,Automatic,5,Good,14800
Maruti,2019,1.5,105,22000,Petrol,Automatic,5,Excellent,11200
Tata,2018,1.4,90,45000,Petrol,Manual,5,Good,9800
Mahindra,2020,2.2,160,8000,Diesel,Automatic,5,Excellent,22000
Renault,2019,1.5,110,28000,Petrol,Automatic,5,Excellent,13500
Datsun,2018,1.6,105,38000,Petrol,Automatic,5,Good,10200
Skoda,2020,1.5,115,18000,Petrol,Automatic,5,Excellent,16500
Citroen,2019,1.6,110,32000,Petrol,Automatic,5,Good,11800
MG,2018,1.5,108,25000,Petrol,Automatic,5,Good,12200
Jeep,2020,2.0,160,12000,Petrol,Automatic,5,Excellent,23500
Chevrolet,2017,1.5,110,52000,Petrol,Manual,5,Fair,10200
Toyota,2018,3.0,250,48000,Petrol,Automatic,5,Good,28500
Honda,2020,2.0,180,16000,Petrol,Automatic,5,Excellent,22500
Ford,2018,1.8,160,38000,Diesel,Automatic,5,Good,14800
BMW,2017,2.2,200,55000,Petrol,Automatic,5,Fair,26000
Mercedes,2019,2.5,270,35000,Diesel,Automatic,5,Excellent,48500
Audi,2019,1.6,140,28000,Petrol,Automatic,5,Excellent,25200
Volkswagen,2020,2.2,155,10000,Petrol,Automatic,5,Excellent,17800
Hyundai,2018,1.6,145,42000,Petrol,Automatic,5,Good,13500
Kia,2020,2.0,170,14000,Petrol,Automatic,5,Excellent,16500
Maruti,2017,1.0,65,62000,Petrol,Manual,5,Fair,7800
Tata,2019,1.2,88,32000,Petrol,Manual,5,Good,10200
Mahindra,2017,2.0,150,52000,Diesel,Manual,5,Fair,13500
Renault,2020,1.5,115,18000,Petrol,Automatic,5,Excellent,14200
Datsun,2019,1.5,100,25000,Petrol,Manual,5,Good,9800
Skoda,2017,1.8,125,48000,Petrol,Automatic,5,Fair,15800
Citroen,2020,1.5,110,12000,Petrol,Automatic,5,Excellent,12500
MG,2017,1.5,105,35000,Petrol,Automatic,5,Good,11800
Jeep,2019,2.2,185,28000,Petrol,Automatic,5,Excellent,22800
Chevrolet,2018,1.4,98,45000,Petrol,Automatic,5,Good,10800
Toyota,2019,2.0,160,35000,Hybrid,Automatic,5,Excellent,25500
Honda,2017,1.6,125,52000,Petrol,Manual,5,Fair,11800
Ford,2020,2.2,200,14000,Diesel,Automatic,5,Excellent,16800
BMW,2019,3.0,290,25000,Petrol,Automatic,5,Excellent,32500
Mercedes,2018,2.0,220,42000,Petrol,Automatic,5,Good,44500
